duration;history;purpose;amount;savings;employ;installment;sex;residence;age;housing;cards;liable;foreign
6;terrible;goods/repair;1169;DM0-100;7+years;4;male;4;67;own;2;1;foreign
48;poor;goods/repair;5951;DM0-100;1-7years;2;female;2;22;own;1;1;foreign
12;terrible;edu;2096;DM0-100;1-7years;2;male;3;49;own;1;2;foreign
42;poor;goods/repair;7882;DM0-100;1-7years;2;male;4;45;forfree;1;2;foreign
24;poor;newcar;4870;DM0-100;1-7years;3;male;4;53;forfree;2;2;foreign
36;poor;edu;9055;DM0-100;1-7years;2;male;4;35;forfree;1;2;foreign
24;poor;goods/repair;2835;DM100-1000;7+years;3;male;4;53;own;1;1;foreign
36;poor;usedcar;6948;DM0-100;1-7years;2;male;2;35;rent;1;1;foreign
12;poor;goods/repair;3059;DM1000+;1-7years;2;male;4;61;own;1;1;foreign
30;terrible;newcar;5234;DM0-100;unemployed;4;male;2;28;own;2;1;foreign
12;poor;newcar;1295;DM0-100;0-1year;3;female;1;25;rent;1;1;foreign
48;poor;biz;4308;DM0-100;0-1year;3;female;4;24;rent;1;1;foreign
12;poor;goods/repair;1567;DM0-100;1-7years;1;female;1;22;own;1;1;foreign
24;terrible;newcar;1199;DM0-100;7+years;4;male;4;60;own;2;1;foreign
15;poor;newcar;1403;DM0-100;1-7years;2;female;4;28;rent;1;1;foreign
24;poor;goods/repair;1282;DM100-1000;1-7years;4;female;2;32;own;1;1;foreign
24;terrible;goods/repair;2424;DM0-100;7+years;4;male;4;53;own;2;1;foreign
30;good;biz;8072;DM0-100;0-1year;2;male;3;25;own;3;1;foreign
24;poor;usedcar;12579;DM0-100;7+years;4;female;2;44;forfree;1;1;foreign
24;poor;goods/repair;3430;DM100-1000;7+years;3;male;2;31;own;1;2;foreign
9;terrible;newcar;2134;DM0-100;1-7years;4;male;4;48;own;3;1;foreign
6;poor;goods/repair;2647;DM100-1000;1-7years;2;male;3;44;rent;1;2;foreign
10;terrible;newcar;2241;DM0-100;0-1year;1;male;3;48;rent;2;2;german
12;terrible;usedcar;1804;DM100-1000;0-1year;3;male;4;44;own;1;1;foreign
10;terrible;goods/repair;2069;DM0-100;1-7years;2;male;1;26;own;2;1;german
6;poor;goods/repair;1374;DM0-100;1-7years;1;male;2;36;own;1;1;foreign
6;good;goods/repair;426;DM0-100;7+years;4;male;4;39;own;1;1;foreign
12;good;goods/repair;409;DM1000+;1-7years;3;female;3;42;rent;2;1;foreign
7;poor;goods/repair;2415;DM0-100;1-7years;3;male;2;34;own;1;1;foreign
60;poor;biz;6836;DM0-100;7+years;3;male;4;63;own;2;1;foreign
